freq_hz,descriptor,comment,category,,
# ---- Theta ----,,,,,
4,Deep Trance,Deep theta; sleep onset / parasympathetic shift,theta,,
4.5,Grounding Relief,Grounding calm; sometimes used for pain relief,theta,,
5,Classic Meditation,Meditation; hypnagogic imagery,theta,,
5.5,Emotional Release,Emotional processing; creativity,theta,,
6,Memory & Learning,Relaxed focus; memory/learning,theta,,
6.3,Harmonic Healing,Theta with Schumann harmonic feel,theta,,
6.5,Intuition Focus,Introspective focus; creative insight,theta,,
7,Hypnagogic Flow,Light theta toward alpha; imagery,theta,,
7.5,Near-Schumann,Calm alertness near earth resonance,theta,,
7.83,Schumann Grounding,Earth resonance grounding (theta/alpha edge),theta,,
8,Theta-Alpha Bridge,Light meditation; transition to alpha,theta,,
,,,,,
# ---- Therapeutic / Clinical ----,,,,,
3,Delta Brainwave,Anxiety/Depression; Headache; Deep Sleep,therapeutic,,
10,Alpha Band,General Health & Well Being; Musculoskeletal Pain,therapeutic,,
14,SMR Stimulation,ADHD; Relaxed Body; Alpha Stimulator,therapeutic,,
20,General Pain / Beta,Sciatic/Arthritic Pain; Depression,therapeutic,,
25,Post Surgery Recovery,Bone Regeneration; Healing,therapeutic,,
30,Dental,Oral Disease; Beta,therapeutic,,
40,Gamma Band,Concentration; Problem Solving,therapeutic,,
50,Post Surgery Recovery,Bone Regeneration; Post Surgery,therapeutic,,
,,,,,
# ---- Solfeggio ----,,,,,
174,Pain/Stress Reduction,Serenity,solfeggio,,
285,Cell Repair / Tissue / Organs,Regenerate / Restructure,solfeggio,,
396,Guilt/Fear/Grief Elimination,Release,solfeggio,,
417,Undoing Situations,Facilitating Change,solfeggio,,
432,Harmonic of Nature,Heart/Earth/Sun/Moon â€¢ Om,solfeggio,,
528,Miracles / Transformation,DNA Repair / Love,solfeggio,,
639,Enhance Communication,Relationships / Connection,solfeggio,,
741,New Perspectives / Chronic Pain,Mental Clarity / Intuition,solfeggio,,
852,Return to Spiritual Order,Elevation / Realization,solfeggio,,
963,Enlightenment / Divine Consciousness,Unity / Oneness,solfeggio,,
,,,,,
# ---- Chakras ----,,,,,
288,Root Chakra (Bb),MULADHARA,chakra,,
303,Sacral Chakra (Eb),SVADHISTHANA,chakra,,
364,Solar Plexus (F#),MANIPURA,chakra,,
384,Throat Chakra (G),VISHUDDHA,chakra,,
512,Heart Chakra (C),ANAHATA,chakra,,
576,3rd Eye Chakra (D),AJNA,chakra,,
864,Crown Chakra (A#),SAHASRARA,chakra,,
,,,,,
# ---- Schumann Resonances ----,,,,,
7.83,Schumann Fundamental,Fundamental Resonance Peak Average,schumann,,
14.3,Schumann 2nd Harmonic,2nd Order Peak Average,schumann,,
20.8,Schumann 3rd Harmonic,3rd Order Peak Average,schumann,,
27.3,Schumann 4th Harmonic,4th Order Peak Average,schumann,,
33.8,Schumann 5th Harmonic,5th Order Resonance Peak,schumann,,
39.3,Schumann 6th Harmonic,6th Order Resonance Peak,schumann,,
45.8,Schumann 7th Harmonic,7th Order Resonance Peak,schumann,,
,,,,,
# ---- Planetary / Cosmic ----,,,,,
126.22,Sun (C#),126.22 Hz,planetary,,
141.27,Mercury (C#),141.27 Hz,planetary,,
221.23,Venus (A),221.23 Hz,planetary,,
194.18,"Earth Day, Synodic (solar) (B)",194.18Hz,Earth Tones,,
194.71,"Earth Day, Sideric (sidereal) (G)",194.71 Hz,Earth Tones,,
136.1,Earth Year (C#),136.1 Hz,Earth Tones,,
172.06,Earth Year Platonic (F),172.06 Hz,Earth Tones,,
128,Flower of Life,128 Hz,,,
149.74,Geomagnetic Field (D),149.74 Hz,,,
207.67,Hydrogen Alpha (G#),207.67 Hz,Hydrogen Tones,,
140.18,Hydrogen Beta (C#),140.18 Hz,Hydrogen Tones,,
157.04,Hydrogen Gamma (F#),157.04 Hz,Hydrogen Tones,,
166.14,Hydrogen Delta (E),166.14 Hz,Hydrogen Tones,,
227.43,Sideric Moon (A#),227.43 Hz,Moon Tones,,
229.22,Moon Metonic (B),229.22 Hz,Moon Tones,,
234.16,Moon Knot (A#),234.16 Hz,Moon Tones,,
241.56,Moon Saros (B),241.56 Hz,Moon Tones,,
246.04,Moon Apsis (B+),246.04 Hz,Moon Tones,,
210.42,Synodic Moon (G#),210.42 Hz,Moon Tones,,
144.72,Mars (D),144.72 Hz,planetary,,
183.58,Jupiter (F#),183.58 Hz,planetary,,
147.85,Saturn (D+),147.85 Hz,planetary,,
207.36,Uranus (G#),207.36 Hz,planetary,,
211.44,Neptune (G#),211.44 Hz,planetary,,
140.25,Pluto (C#),140.25 Hz,planetary,,
172.86,Chiron (F#),172.86 Hz,planetary,,
